receiver,amount
0xec2f03f3a9ca13bae9cb2c96d9c813386b4537d4,174
0xf916b594fa568fb4cf5ca7f0ebeb11ffd9e296c5,174
0x5870f14442fade3f06cd277d22057476db38dfdf,174
0xee72802c043e96f4363946dd23740262cd968155,140
0xbb9668ac6e0e1cc082bd14578a4fb318431ab929,140
0xb8d19f876f4eb07533083a340b52a4a609f3a7bb,140
0xd70f59cf88d2484ef23d367e6db6d02a6ca34ca5,140
0xaca5e2db589115fdc5c1ca1a1f8d9fd7c2703ac2,140
0x64fc74ec66b66bfa090446f2024821b0411b3eff,140
0x025db46923a6f7b219d77b89385db0fcbe92a0fc,140
0xe369b7e5808d610052b4d247dbc2e48a76cd820d,140
0x3af2910134ec79e599866f7f8ee6aa1b949d4b03,140
0x93c3abc4804df0f1fb0c2adfdb65a7d161246b32,140
0x3b9a65d8f55b2b3eed8080b0b6f7f6ca23c1aa87,140
0xc3ae80c65a25d3e11bec83d7307273364cf68b1e,140
0x39bf9f9587c08f7fb80999008a13f3df13b61f08,105
0x7685b77c82ef70d200fa3de556d8606a52df3308,105
0x5970c59bc7d265b990b66d69f4eb90c28b08e547,105
0xe9c99e7e2437c616028d3783621611f9f115558c,105
0x96aeffb076b9ebbcddf454bb7ba015deff092c9b,105
0x6067f22108ac3746e267a307ef97fde487533ecf,105
0x1c9fefb363361b303f9ab3cb08395cf863461784,105
0x7f2b9d80303f375a583d8d115e175c7b45fad082,105
0xc32a4db7456d68e6c253d3a9ad6f1b1194ee36f7,105
0xb3c64a8318131802c2d77cceb9af7e5412196397,105
0xef58304e292fbaeacfdec25b67b3438031fde313,105
0xed22bb0106c24c7f6b4d8aae33639e1467061f64,105
0xf1510889965b8ac0cb33e0daad96e118dea8a201,105
0xa67a8542b0634fc2629a88a15345191f381d3e2f,105
0xe4f3e4e4fda830f067e3c09ecac84e06f0eb7870,105
0x9308761c202953aec6af5929a5eae841ec0e2f60,105
0x7b0fabe6594c973662bd7d36f19f69fd2bd25b3e,105
0xd89a05712432c056dd51aa7b7c2bcb1a7f971a6e,105
0xd1f23d8f7c097471fecafce27ee56012c0b648bd,105
0x18f3dc55d119bf7618fb90299d77527f4892c209,70
0xe6683e6aae795a8b71015d955ce0248d684dc2e3,70
0x352d975f0c477282a4bb92e2d2f16652dde1a3f7,70
0xeeadc5701b5fd25fbcc7fbf04b048cdb1fff1c65,70
0x8e97eaa8ee529d9bc3a74449848b18b909e7f8ee,70
0xf7cbba9dacf655e16f3226b280301907f2d30ccf,70
0x446a6560f8073919d8402c98db55db342a20300b,70
0xe052113bd7d7700d623414a0a4585bcae754e9d5,70
0xd2ce4bddd7cedaa8b04d5f13b1ece8f0d09740e9,70
0x137effbb0b405cd6a3c549e53dd6244a439c514d,70
0x9b0910f09cf0dd1778730f4cef2eec8d233660c9,70
0xdd92a572bb0a4dc1422b0337301d98826ad0b0ca,70
0xaecaa9aa734647d1cea806209caffa5946662b5d,70
0x75a473c33bffb61e945d86b37113c0859965a789,70
0xb10944118bd56ba667eac4e8aded42ebd7fafa32,70
0x7057a463ff4effbe109b689edebddfd27c582e4b,70
0xa207cea3c3b0175e42d5ba096658b1ae14400e41,70
0x414531e74c58b4a5c5c998b18fbe819a70d78f30,70
0x6f1cc221cd5c49331374908bf9d0f82ed4619423,70
0x258bcab7abc959d033e588828916ac45c0adda86,70
0xab80ebd85b90fc5344aad3c19ce8167e7968a975,70
0x0dc7a32042ce2e55ede97aae926c4e52af85b268,70
0xfc2a0dd615d2e794f7373c65ca29a6878abb7280,70
0xfbfa2f7acbebf9eb7e808b1d31e46c0e21d691c5,70
0x3686a4b272c646ef6fbe34377337d95db7356e63,70
0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b,70
0x1b7a0cf0142ae27824e751ef6b308245628ef143,70
0x206629babc6345f9dc0ee86cb681a0882bd08ad7,70
0xe4e8d6650a8dc5ebf91f9ee563d71378483d90c3,70
0xd5bb6ac79482467103263b818f2d8462224f6133,70
0xdcbc6481ca2e840ab22dec2ba5235d3d0a29c743,70
0xc699691ab242bbe45d183f4cc5fc75b4e713c552,70
0xd2ea965fa104cc566071a48d61441bb06e08adc9,70
0xdfa413375306e2169adcbbe8551f69739328e6dd,70
0xeb418e53efcdc351137c9a81c70967b8d7063f4c,70
0xcddcbd9c2665a71cd4cf5d1fac0740bf7643f260,70
0xb2c163ac72433c19a86d90c2ce756c927574892a,70
0x4dbf199bc4b132bd590f09f71ddcbcd82ccf2259,70
0x18c5ea5b6441d99d621cec21e9c034d97124d267,70
0x89f31c0b84f38a6bf179bcb95d4f6abd55534e13,70
0x1011f36acbce03ff11b4c75340c4c1e646998477,70
0x6b8c6e15818c74895c31a1c91390b3d42b336799,70
0xa287c992edcc454f3c1a4278b1b9149a991a7b12,70
0x2765f720b98e5afe501f7d190af575d2232273da,70
0x363885776a224b03cf449de8dbf53860a9e8a80c,70
0x827605d4bdf392696ff1e6f9ac1b3c3767e3a414,70
0xe9fe783a3f784b045db9bb42e3612d0ccef739fd,70
0x5f8b9b4541ecef965424f1db923806aad626add2,70
0xfc25266e5240e7ee3a6cb31bca09b50ba3883442,70
0x2ff32bcf062d21c378c5ae69965fc1a9d9fb82c5,70
0x754f54148c4145f7db44d8483bf83caa86b315ce,70
0x736c38958622ccbc6d935cbfb183beb7d79d1a69,70
0xb834e4c6b59f7a8c420368ccf17e9b74ffa8c1d4,70
0xe0e3dcc9003248aefa5691091878d87a5b0f29d1,70
0x932ca079d4f1c39e90912a790a341e7509e0b824,70
0x3a25b9622476b32a5b37953e15d9b7abd60b6188,70
0x19661d0bfb4ad2fd1086cf6bc1bcda0ad5a7797b,70
0x6601838c6fe7a32a7c2c71bd71391d4bb913b640,70
0x34db35639eafe2712ae1f69dfa298b06a5c25053,70
0xe90544460377e4702f2ad522fde70baab26ce21b,70
0xd9ea5b738c8733ee799992cf065ebf45a08156a4,70
0x0dee12a2548432702e1c275c50b3ad223f9a74be,70
0xb2ef634e5bab1d7b2136ed35a91abc1adb118281,70
0x9ef4ca1a90361aee93c4638d142ba04a5a8fb08b,70
0x94ff1e7d124c10126a5133e389deecdac6185590,70
0x702094a1ac85a4ae93940f92d672754910310238,70
0xa928052965e5e989927cdbbb77e408033c8e6506,70
0xa65a540d69d60401761cc1f4adf22fa637156a3a,70
0xd44f356586a54c16ab758336b4f2eaf88670b4fe,70
0x6cc7abc0d3b71228c201e217fae1fa06283cff24,70
0x8d1db0c2fce84a914c7d9bc291980d79d0d8e8c3,70
0x40dc7edf0e6f5f03eb23c52590d822b6984ffc52,70
0x5d0202cd4fd783edcdc9012c82bf58c67971e397,70
0x741bfdb9bea6fa505ff9dfe9e8947b29863373fa,70
0x967d3c166de2666c8c0afe3e6007e97be8e20fd1,70
0x67bf9c5a79c676a6d446cc391db632704eb0f020,70
0xe23098bb33a264279305b9401c143b36148ba3ad,70
0xd85ef72709cdcad78318c6943db212152f07f93f,70
0x96f818e40febb6135746ec0b97f561b6edbb92c9,70
0x7f95a004ab29cb14e5681a6b9dc059288298f7b1,70
0xdb09ca3b6d92250b33bfd5ee8f5db46420f2775f,70
0x16036d4d224ada678a19550524392b219e0fae5b,70
0x1d877c5e1452a635b3feaa47994b03c7c0976ad3,70
0x09b3b662a7dacaa9c8ee70f704390bb93de41aed,70
0x08255ed137f7048e225fca78ef11df239c3e2246,70
0x967edc401472dc8b7dc3b9e51bc66bd6477ee209,70
0x4ce68dafec8a0db4943b76f02d6d2b7efb959f60,70
0x129051477b9ccc5b48d1362a1f9e9eef6b02e9e3,70
0x29a5d3d3c588c4c344ec5a6e6614bda0ae257b68,70
0x34d05abb475c6f65f70ff6427eda8db9ce4d40ad,70
0xf8dee5549496b329041207913352b3e31dcc035b,70
0x813b9b79ad45ee466df3a2b3ed31c47ac3b281aa,70
0x305dbd9ebbd902c1d39313a200ef73b903b87ef5,70
0xae20f0454cc764619489087fb7ef4c3e890062a0,70
0xf1cad5d8fafb9a18fe8fb197a6a36c085182fba4,70
0xe42c80520511533faa23a576397d7a917609d5cc,70
0xe71758660904d74618c0f70d6606bc270096c899,70
0xb7d7ce36de85e0e080b1f94fa7cd8a47378b1b4c,70
0x13213bb43c344e7756d764113d3a36f50f8fda0a,70
0xfab12eaf6fbdeef01a914b5e57488a285fcd6d58,70
0x55c57deae77b515003c5d49a89dcb7e4024253c5,70
0x3a2a72ff37afe42b2c2747366be5ecdacb211d8a,70
0xea5e7d34e5a4b6cba85f654b8088431fd5167ae4,70
0xcca3cc6496cd957fed67b940e2932a52098f2b5c,70
0xae9deddf056811f91fb58208a0ef973e1eecc911,70
0xdfbbe5686d054944a4e64cdd588f5777b56d1b63,70
0x60b69d9a8c8e21c19a56a848ee5fd2e63b0741fd,70
0x843e66e00f1684926dd895779802465727d09c82,70
0x0ee7a5d7f071f6bab0fe16c895fd2625ec57b766,70
0x8c093349cfb6172ac1494a75e42af0514e3b3639,70
0x1eea95f2d2ed24cd3451da93a69efdd08767cc5b,70
0x5dd0369eae712785a6ad88c0ca76de557014e01c,70
0xdb7b7f99fc5ec6f95a84415f1b2403ecda0acc50,70
0xc223fa4cb740c8c6e0627ca157903d2207345a2a,70
0xb4c9093bc5602022b6c4b81f4b45e6d337e7aa37,70
0x181c8aa1a2cbd60e98c6894fa6337013a98f53bc,70
0x6f28ca76a3499f882b2f57c0b4fcfc0034fa5ad6,70
0x1d4489393abe76cf7e841f0fcd0cd7b548945c4a,70
0xeaa189d493feb3ead7083951be534b419e50fa1f,70
0x1bff2b878d89860b9642745c096149ca3f75335e,70
0xa42057b23caaba78f51c8a6f9de2bb112bb6a0ff,70
0x041728afd9f4e1b1e3bb8ed331b42b006a877912,70
0xc0dbd1d0510a2a72868b99b7e69951eefdfbf1e6,70
